Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
0.13,0,0.2409338376513824886578379791,0.240933837651382,0.240933837651382,0.240933837651382,0.240933837651382,0,0,0,0,2,6.65,6.65,5061628
0.14,0,0.2401606629250012514959097931,0.240160662925001,0.240160662925001,0.240160662925001,0.240160662925001,0,0,0,0,2,6.65,6.65,5450984
0.15,0,0.2394015580834951012906271405,0.239401558083495,0.239401558083495,0.239401558083495,0.239401558083495,0,0,0,0,2,6.65,6.65,5840341
0.16,0,0.2386609534408263860168215623,0.238660953440826,0.238660953440826,0.238660953440826,0.238660953440826,0,0,0,0,2,6.65,6.65,6229696
0.17,0,0.2379412924890847447493216873,0.237941292489085,0.237941292489085,0.237941292489085,0.237941292489085,0,0,0,0,2,6.65,6.65,6619053
0.18,0,0.2372437733559464209360096085,0.237243773355946,0.237243773355946,0.237243773355946,0.237243773355946,0,0,0,0,2,6.65,6.65,7008409
0.19,0,0.2365687821485490934753958904,0.236568782148549,0.236568782148549,0.236568782148549,0.236568782148549,0,0,0,0,2,6.65,6.65,7397764
0.20,0,0.2359161850364431592144162121,0.235916185036443,0.235916185036443,0.235916185036443,0.235916185036443,0,0,0,0,2,6.65,6.65,7787121
0.21,0,0.2352855350722812850990895621,0.235285535072281,0.235285535072281,0.235285535072281,0.235285535072281,0,0,0,0,2,6.65,6.65,8176476
0.22,0,0.2346761724916200196932280468,0.23467617249162,0.23467617249162,0.23467617249162,0.23467617249162,0,0,0,0,2,6.65,6.65,8565833
0.23,0,0.2340873323353112627208473442,0.234087332335311,0.234087332335311,0.234087332335311,0.234087332335311,0,0,0,0,2,6.65,6.65,8955189
0.24,0,0.2335181822049191116060302567,0.233518182204919,0.233518182204919,0.233518182204919,0.233518182204919,0,0,0,0,2,6.65,6.65,9344545
0.25,0,0.2329678670479379418797297486,0.232967867047938,0.232967867047938,0.232967867047938,0.232967867047938,0,0,0,0,2,6.65,6.65,9733901
0.26,0,0.2324355278508656912761516272,0.232435527850866,0.232435527850866,0.232435527850866,0.232435527850866,0,0,0,0,2,6.65,6.65,10123260
0.27,0,0.2319203415484342594560838354,0.231920341548434,0.231920341548434,0.231920341548434,0.231920341548434,0,0,0,0,2,6.65,6.65,10512610
0.28,0,0.2314214699279417849322213572,0.231421469927942,0.231421469927942,0.231421469927942,0.231421469927942,0,0,0,0,2,6.65,6.65,10901970
0.29,0,0.2309381575242294736001819228,0.230938157524229,0.230938157524229,0.230938157524229,0.230938157524229,0,0,0,0,2,6.65,6.65,11291320
0.30,0,0.2304696337844355412868953192,0.230469633784436,0.230469633784436,0.230469633784436,0.230469633784436,0,0,0,0,2,6.65,6.65,11680680
0.31,0,0.2300152024919833792655336740,0.230015202491983,0.230015202491983,0.230015202491983,0.230015202491983,0,0,0,0,2,6.65,6.65,12070040
0.32,0,0.2295742031747109631221230584,0.229574203174711,0.229574203174711,0.229574203174711,0.229574203174711,0,0,0,0,2,6.65,6.65,12459390
0.33,0,0.2291459782036299749032122272,0.22914597820363,0.22914597820363,0.22914597820363,0.22914597820363,0,0,0,0,2,6.65,6.65,12848750
0.34,0,0.2287299396376186822004168956,0.228729939637619,0.228729939637619,0.228729939637619,0.228729939637619,0,0,0,0,2,6.65,6.65,13238110
0.35,0,0.2283255324084432250239616935,0.228325532408443,0.228325532408443,0.228325532408443,0.228325532408443,0,0,0,0,2,6.65,6.65,13627460
0.36,0,0.2279322029500362323456660064,0.227932202950036,0.227932202950036,0.227932202950036,0.227932202950036,0,0,0,0,2,6.65,6.65,14016820
0.37,0,0.2275494694801941385851009031,0.227549469480194,0.227549469480194,0.227549469480194,0.227549469480194,0,0,0,0,2,6.65,6.65,14406170
0.38,0,0.2271768393795431733738645978,0.227176839379543,0.227176839379543,0.227176839379543,0.227176839379543,0,0,0,0,2,6.65,6.65,14795530
0.39,0,0.2268138861601306875422994839,0.226813886160131,0.226813886160131,0.226813886160131,0.226813886160131,0,0,0,0,2,6.65,6.65,15184880
0.40,0,0.2264601711675447453904320360,0.226460171167545,0.226460171167545,0.226460171167545,0.226460171167545,0,0,0,0,2,6.65,6.65,15574240
0.41,0,0.2261153078449310862551374275,0.226115307844931,0.226115307844931,0.226115307844931,0.226115307844931,0,0,0,0,2,6.65,6.65,15963600
0.42,0,0.2257789312048401416163107235,0.22577893120484,0.22577893120484,0.22577893120484,0.22577893120484,0,0,0,0,2,6.65,6.65,16352950
0.43,0,0.2254506714799829889557970944,0.225450671479983,0.225450671479983,0.225450671479983,0.225450671479983,0,0,0,0,2,6.65,6.65,16742310
0.44,0,0.2251302045776078017787615049,0.225130204577608,0.225130204577608,0.225130204577608,0.225130204577608,0,0,0,0,2,6.65,6.65,17131670
0.45,0,0.2248172239770304367743671886,0.22481722397703,0.22481722397703,0.22481722397703,0.22481722397703,0,0,0,0,2,6.65,6.65,17521020
0.46,0,0.2245114163160918072534550107,0.224511416316092,0.224511416316092,0.224511416316092,0.224511416316092,0,0,0,0,2,6.65,6.65,17910380
0.47,0,0.2242125160830236923727449885,0.224212516083024,0.224212516083024,0.224212516083024,0.224212516083024,0,0,0,0,2,6.65,6.65,18299730
0.48,0,0.2239202417081672436991423251,0.223920241708167,0.223920241708167,0.223920241708167,0.223920241708167,0,0,0,0,2,6.65,6.65,18689090
0.49,0,0.2236343487792937507076777972,0.223634348779294,0.223634348779294,0.223634348779294,0.223634348779294,0,0,0,0,2,6.65,6.65,19078450
0.50,0,0.2233546053720876984553197319,0.223354605372088,0.223354605372088,0.223354605372088,0.223354605372088,0,0,0,0,2,6.65,6.65,19467800
0.51,0,0.2230807703964005209808606658,0.223080770396401,0.223080770396401,0.223080770396401,0.223080770396401,0,0,0,0,2,6.65,6.65,19857160
0.52,0,0.2228126427343746559038887339,0.222812642734375,0.222812642734375,0.222812642734375,0.222812642734375,0,0,0,0,2,6.65,6.65,20246510
0.53,0,0.2225500042288281015333760607,0.222550004228828,0.222550004228828,0.222550004228828,0.222550004228828,0,0,0,0,2,6.65,6.65,20635870
0.54,0,0.2222926675865281636410128212,0.222292667586528,0.222292667586528,0.222292667586528,0.222292667586528,0,0,0,0,2,6.65,6.65,21025230
0.55,0,0.2220404544821890145665712878,0.222040454482189,0.222040454482189,0.222040454482189,0.222040454482189,0,0,0,0,2,6.65,6.65,21414580
0.56,0,0.2217931761588634802968798378,0.221793176158864,0.221793176158864,0.221793176158864,0.221793176158864,0,0,0,0,2,6.65,6.65,21803940
0.57,0,0.2215506779177791974758418227,0.221550677917779,0.221550677917779,0.221550677917779,0.221550677917779,0,0,0,0,2,6.65,6.65,22193290
0.58,0,0.2213127877902510206095195432,0.221312787790251,0.221312787790251,0.221312787790251,0.221312787790251,0,0,0,0,2,6.65,6.65,22582650
0.59,0,0.2210793599778851964186700070,0.221079359977885,0.221079359977885,0.221079359977885,0.221079359977885,0,0,0,0,2,6.65,6.65,22972010
0.60,0,0.2208502552178395887941481904,0.22085025521784,0.22085025521784,0.22085025521784,0.22085025521784,0,0,0,0,2,6.65,6.65,23361360
0.61,0,0.2206253232416917046650722381,0.220625323241692,0.220625323241692,0.220625323241692,0.220625323241692,0,0,0,0,2,6.65,6.65,23750720
0.62,0,0.2204044433212377293258010543,0.220404443321238,0.220404443321238,0.220404443321238,0.220404443321238,0,0,0,0,2,6.65,6.65,24140070
0.63,0,0.2201874776855331692415997487,0.220187477685533,0.220187477685533,0.220187477685533,0.220187477685533,0,0,0,0,2,6.65,6.65,24529430
0.64,0,0.2199743111654924044710027436,0.219974311165492,0.219974311165492,0.219974311165492,0.219974311165492,0,0,0,0,2,6.65,6.65,24918790
0.65,0,0.2197648334293268226022152904,0.219764833429327,0.219764833429327,0.219764833429327,0.219764833429327,0,0,0,0,2,6.65,6.65,25308140
0.66,0,0.2195589229951227845880712309,0.219558922995123,0.219558922995123,0.219558922995123,0.219558922995123,0,0,0,0,2,6.65,6.65,25697500
0.67,0,0.2193564792402234307767769058,0.219356479240223,0.219356479240223,0.219356479240223,0.219356479240223,0,0,0,0,2,6.65,6.65,26086860
0.68,0,0.2191574056095998890940577734,0.2191574056096,0.2191574056096,0.2191574056096,0.2191574056096,0,0,0,0,2,6.65,6.65,26476210
0.69,0,0.2189615944434359451898410052,0.218961594443436,0.218961594443436,0.218961594443436,0.218961594443436,0,0,0,0,2,6.65,6.65,26865570
0.70,0,0.2187689623392825399626204340,0.218768962339283,0.218768962339283,0.218768962339283,0.218768962339283,0,0,0,0,2,6.65,6.65,27254920
0.71,0,0.2185794097027017361196306147,0.218579409702702,0.218579409702702,0.218579409702702,0.218579409702702,0,0,0,0,2,6.65,6.65,27644280
0.72,0,0.2183928553917698224910238012,0.21839285539177,0.21839285539177,0.21839285539177,0.21839285539177,0,0,0,0,2,6.65,6.65,28033640
0.73,0,0.2182092213467211650819099112,0.218209221346721,0.218209221346721,0.218209221346721,0.218209221346721,0,0,0,0,2,6.65,6.65,28422990
0.74,0,0.2180284186171929196940026321,0.218028418617193,0.218028418617193,0.218028418617193,0.218028418617193,0,0,0,0,2,6.65,6.65,28812350
0.75,0,0.2178503800357550843196935454,0.217850380035755,0.217850380035755,0.217850380035755,0.217850380035755,0,0,0,0,2,6.65,6.65,29201700
0.76,0,0.2176750229097161336371244629,0.217675022909716,0.217675022909716,0.217675022909716,0.217675022909716,0,0,0,0,2,6.65,6.65,29591060
0.77,0,0.2175022854701940445502891840,0.217502285470194,0.217502285470194,0.217502285470194,0.217502285470194,0,0,0,0,2,6.65,6.65,29980410
0.78,0,0.2173320907006375908390217428,0.217332090700638,0.217332090700638,0.217332090700638,0.217332090700638,0,0,0,0,2,6.65,6.65,30369770
0.79,0,0.2171643774359240809638521667,0.217164377435924,0.217164377435924,0.217164377435924,0.217164377435924,0,0,0,0,2,6.65,6.65,30759130
0.80,0,0.2169990866475425335206934437,0.216999086647543,0.216999086647543,0.216999086647543,0.216999086647543,0,0,0,0,2,6.65,6.65,31148480
0.81,0,0.2168361488830228204108899858,0.216836148883023,0.216836148883023,0.216836148883023,0.216836148883023,0,0,0,0,2,6.65,6.65,31537840
0.82,0,0.2166755096301229408696595930,0.216675509630123,0.216675509630123,0.216675509630123,0.216675509630123,0,0,0,0,2,6.65,6.65,31927200
0.83,0,0.2165171162158182282166995519,0.216517116215818,0.216517116215818,0.216517116215818,0.216517116215818,0,0,0,0,2,6.65,6.65,32316550
0.84,0,0.2163609057736562119402872590,0.216360905773656,0.216360905773656,0.216360905773656,0.216360905773656,0,0,0,0,2,6.65,6.65,32705910
0.85,0,0.2162068334919758332858608165,0.216206833491976,0.216206833491976,0.216206833491976,0.216206833491976,0,0,0,0,2,6.65,6.65,33095260
0.86,0,0.2160548404277756241218744402,0.216054840427776,0.216054840427776,0.216054840427776,0.216054840427776,0,0,0,0,2,6.65,6.65,33484620
0.87,0,0.2159048812649917177266177876,0.215904881264992,0.215904881264992,0.215904881264992,0.215904881264992,0,0,0,0,2,6.65,6.65,33873980
0.88,0,0.2157569121326524043500838811,0.215756912132652,0.215756912132652,0.215756912132652,0.215756912132652,0,0,0,0,2,6.65,6.65,34263330
0.89,0,0.2156108793674864455947920710,0.215610879367486,0.215610879367486,0.215610879367486,0.215610879367486,0,0,0,0,2,6.65,6.65,34652690
0.90,0,0.2154667459250199080047580607,0.21546674592502,0.21546674592502,0.21546674592502,0.21546674592502,0,0,0,0,2,6.65,6.65,35042040
0.91,0,0.21693191979731,0.21693191979731,0.21693191979731,0.21693191979731,0.21693191979731,0,0,0,0,2.07239099357669,6.66508886666667,7.28777692904117,35431400
0.92,0,0.22132744141418,0.221327441414181,0.221327441414181,0.221327441414181,0.221327441414181,0,0,0,0,2.14478198715339,6.68017773333333,7.92555385808234,35820760
0.93,0,0.233074283681426,0.233074283681426,0.233074283681426,0.233074283681426,0.233074283681426,0,0,0,0,2.21717298073008,6.6952666,8.56333078712351,36210110
0.94,0,0.249974685790613,0.249974685790613,0.249974685790613,0.249974685790613,0.249974685790613,0,0,0,0,2.28956397430677,6.71035546666667,9.20110771616467,36599470
0.95,0,0.2668750878998,0.2668750878998,0.2668750878998,0.2668750878998,0.2668750878998,0,0,0,0,2.36195496788347,6.72544433333333,9.83888464520584,36988820
0.96,0,0.283775490008986,0.283775490008986,0.283775490008986,0.283775490008986,0.283775490008986,0,0,0,0,2.43434596146016,6.7405332,10.476661574247,37378180
0.97,0,0.300675892118173,0.300675892118173,0.300675892118173,0.300675892118173,0.300675892118173,0,0,0,0,2.50673695503685,6.75562206666667,11.1144385032882,37767540
0.98,0,0.31757629422736,0.31757629422736,0.31757629422736,0.31757629422736,0.31757629422736,0,0,0,0,2.57912794861355,6.77071093333333,11.7522154323294,38156890
0.99,0,0.334476696336546,0.334476696336547,0.334476696336547,0.334476696336547,0.334476696336547,0,0,0,0,2.65151894219024,6.7857998,12.3899923613705,38546250
1.00,0,0.351377098445733,0.351377098445733,0.351377098445733,0.351377098445733,0.351377098445733,0,0,0,0,2.72390993576694,6.80088866666667,13.0277692904117,38935600
1.01,0,0.36827750055492,0.36827750055492,0.36827750055492,0.36827750055492,0.36827750055492,0,0,0,0,2.79630092934363,6.81597753333333,13.6655462194529,39324960
1.02,0,0.385177902664106,0.385177902664107,0.385177902664107,0.385177902664107,0.385177902664107,0,0,0,0,2.86869192292032,6.8310664,14.303323148494,39714320
1.03,0,0.402078304773293,0.402078304773294,0.402078304773294,0.402078304773294,0.402078304773294,0,0,0,0,2.94108291649702,6.84615526666667,14.9411000775352,40103670
1.04,0,0.41897870688248,0.41897870688248,0.41897870688248,0.41897870688248,0.41897870688248,0,0,0,0,3.01347391007371,6.86124413333333,15.5788770065764,40493030
1.05,0,0.4358791089916665488323201470,0.435879108991667,0.435879108991667,0.435879108991667,0.435879108991667,0,0,0,0,3.0858649036504035754400357232,6.876333,16.216653935617538901577776839,40882380
1.06,0,0.4351912214204755615470469337,0.435191221420476,0.435191221420476,0.435191221420476,0.435191221420476,0,0,0,0,3.0991726450862435754400357229,6.888368,16.184607235391599391282883386,41271740
1.07,0,0.4345080873752850922530956902,0.434508087375285,0.434508087375285,0.434508087375285,0.434508087375285,0,0,0,0,3.1112354577690335754400357233,6.899348,16.155931866931280333780161433,41661100
1.08,0,0.4338295538013841100381190204,0.433829553801384,0.433829553801384,0.433829553801384,0.433829553801384,0,0,0,0,3.1223135181450035754400357224,6.909495,16.129909921393968100588281834,42050460
1.09,0,0.4331555926466168156897914807,0.433155592646617,0.433155592646617,0.433155592646617,0.433155592646617,0,0,0,0,3.1325870029214635754400357223,6.918963,16.106045533262831853541292709,42439810
1.10,0,0.4324861091422766168825334306,0.432486109142277,0.432486109142277,0.432486109142277,0.432486109142277,0,0,0,0,3.1421867441699435754400357233,6.927863,16.083978862708065673898355329,42829160
1.11,0,0.4318210897802981668341702119,0.431821089780298,0.431821089780298,0.431821089780298,0.431821089780298,0,0,0,0,3.1512112407416135754400357228,6.936278,16.063439164923385246884646696,43218520
1.12,0,0.4311604497023100834781838689,0.43116044970231,0.43116044970231,0.43116044970231,0.43116044970231,0,0,0,0,3.1597368048370835754400357225,6.944274,16.044218223991622578693842277,43607880
1.13,0,0.4305041348532389768067227999,0.430504134853239,0.430504134853239,0.430504134853239,0.430504134853239,0,0,0,0,3.1678239144810635754400357228,6.951905,16.026152458109465618394264762,43997230
1.14,0,0.4298520810783392040729947983,0.429852081078339,0.429852081078339,0.429852081078339,0.429852081078339,0,0,0,0,3.1755214922057235754400357225,6.959208,16.009105256369680433149833857,44386590
1.15,0,0.4292042298366578061716216869,0.429204229836658,0.429204229836658,0.429204229836658,0.429204229836658,0,0,0,0,3.1828697676231335754400357232,6.966221,15.992969594276331110383197581,44775940
1.16,0,0.4276689182247460970799492492,0.427668918224746,0.427668918224746,0.427668918224746,0.427668918224746,0,0,0,0,3.1899022103356935754400357229,6.97297,15.977652739547870404866518016,45165300
1.17,0,0.4261087965208199935450126549,0.42610879652082,0.42610879652082,0.42610879652082,0.42610879652082,0,0,0,0,3.1966470854919035754400357225,6.979482,15.963079925334547473884901706,45554660
1.18,0,0.4245565049678085910546106162,0.424556504967809,0.424556504967809,0.424556504967809,0.424556504967809,0,0,0,0,3.2031284713923635754400357224,6.985775,15.949184144050260579056343775,45944010
1.19,0,0.4230120841917335936664777120,0.423012084191734,0.423012084191734,0.423012084191734,0.423012084191734,0,0,0,0,3.2093670564138335754400357222,6.991867,15.935909597954868108328510803,46333370
1.20,0,0.4214753760467635344641729530,0.421475376046764,0.421475376046764,0.421475376046764,0.421475376046764,0,0,0,0,3.2153808234001535754400357229,6.997774,15.923208102498530034040970404,46722730
1.21,0,0.4199463329835983043870668370,0.419946332983598,0.419946332983598,0.419946332983598,0.419946332983598,0,0,0,0,3.2211854805551635754400357227,7.003509,15.911036946866086666637625811,47112080
1.22,0,0.4184249981561160716935452496,0.418424998156116,0.418424998156116,0.418424998156116,0.418424998156116,0,0,0,0,3.2267948428498435754400357234,7.009085,15.899359673594000260968919243,47501440
1.23,0,0.4169110955042189142815031648,0.416911095504219,0.416911095504219,0.416911095504219,0.416911095504219,0,0,0,0,3.2322210881328135754400357225,7.014511,15.888142473342771900787765994,47890800
1.24,0,0.4154048195034760009044909353,0.415404819503476,0.415404819503476,0.415404819503476,0.415404819503476,0,0,0,0,3.2374751249912235754400357232,7.019796,15.877355763619739975165532647,48280150
1.25,0,0.4139059887929738920064903775,0.413905988792974,0.413905988792974,0.413905988792974,0.413905988792974,0,0,0,0,3.2425666441868535754400357233,7.02495,15.866974623762761295613025339,48669500
1.26,0,0.4124144428111695871419838919,0.41241444281117,0.41241444281117,0.41241444281117,0.41241444281117,0,0,0,0,3.2475043981053635754400357224,7.029979,15.856974516844023470978895277,49058860
1.27,0,0.4109302479813290145182125340,0.410930247981329,0.410930247981329,0.410930247981329,0.410930247981329,0,0,0,0,3.2522962433811535754400357229,7.03489,15.847334514912517784316186225,49448220
1.28,0,0.4094533511913550344195456825,0.409453351191355,0.409453351191355,0.409453351191355,0.409453351191355,0,0,0,0,3.2569493301812435754400357229,7.039688,15.83803466521302726434155757,49837570
1.29,0,0.4079837006756682986679205898,0.407983700675668,0.407983700675668,0.407983700675668,0.407983700675668,0,0,0,0,3.2614700695095435754400357224,7.044381,15.829059450349399117582853282,50226930
1.30,0,0.4065210575244660742023312768,0.406521057524466,0.406521057524466,0.406521057524466,0.406521057524466,0,0,0,0,3.2658644400414135754400357231,7.048973,15.820392113370968457057994808,50616280
1.31,0,0.4050656512433912354408834278,0.405065651243391,0.405065651243391,0.405065651243391,0.405065651243391,0,0,0,0,3.2701377977759935754400357225,7.053468,15.812017871582500808373231566,51005640
1.32,0,0.4036171609493016178049968799,0.403617160949302,0.403617160949302,0.403617160949302,0.403617160949302,0,0,0,0,3.274295098185963575440035723,7.05787,15.803923283634376682150451841,51395000
1.33,0,0.4021757232492725384788362520,0.402175723249273,0.402175723249273,0.402175723249273,0.402175723249273,0,0,0,0,3.278340894242143575440035723,7.062185,15.796097601668222827802022464,51784360
1.34,0,0.4007410981288626083926659408,0.400741098128863,0.400741098128863,0.400741098128863,0.400741098128863,0,0,0,0,3.2822794028676835754400357231,7.066413,15.788527066487167636703842928,52173710
1.35,0,0.3993134374304670231305744304,0.399313437430467,0.399313437430467,0.399313437430467,0.399313437430467,0,0,0,0,3.2861144565211735754400357225,7.070561,15.781203953066712919319327134,52563070
1.36,0,0.3978925049540895977437146097,0.39789250495409,0.39789250495409,0.39789250495409,0.39789250495409,0,0,0,0,3.2898496763069835754400357227,7.074629,15.774116458719859178711626342,52952420
1.37,0,0.3964783436172020592331762063,0.396478343617202,0.396478343617202,0.396478343617202,0.396478343617202,0,0,0,0,3.2934883959475035754400357231,7.078622,15.767257146477366903649176773,53341780
1.38,0,0.3950709380166209220512854949,0.395070938016621,0.395070938016621,0.395070938016621,0.395070938016621,0,0,0,0,3.2970336983045835754400357232,7.082542,15.760617324382968250891281387,53731130
1.39,0,0.3936702220883050671895669787,0.393670222088305,0.393670222088305,0.393670222088305,0.393670222088305,0,0,0,0,3.3004884900536535754400357221,7.086391,15.754188899421951413414472482,54120490
1.40,0,0.3922760711785573226731872830,0.392276071178557,0.392276071178557,0.392276071178557,0.392276071178557,0,0,0,0,3.3038554290721335754400357232,7.090172,15.747965246628206959206716097,54509840
1.41,0,0.3908884201890806549274086126,0.390888420189081,0.390888420189081,0.390888420189081,0.390888420189081,0,0,0,0,3.3071370768270135754400357222,7.093886,15.741938727930092992701816001,54899200
1.42,0,0.3895072525435121070494697533,0.389507252543512,0.389507252543512,0.389507252543512,0.389507252543512,0,0,0,0,3.3103357454321335754400357232,7.097537,15.736104534482801087030281063,55288560
1.43,0,0.3881326219456006406949809807,0.388132621945601,0.388132621945601,0.388132621945601,0.388132621945601,0,0,0,0,3.3134536652244335754400357227,7.101125,15.730455405688945578964841007,55677910
1.44,0,0.3867643846540414216484729657,0.386764384654041,0.386764384654041,0.386764384654041,0.386764384654041,0,0,0,0,3.3140661762871993766065194867,7.104652,15.710844654234879658565745932,56067270
1.45,0,0.3854025151585319805141875190,0.385402515158532,0.385402515158532,0.385402515158532,0.385402515158532,0,0,0,0,3.313260485306643991376710922,7.108121,15.683573792822646200021622033,56456630
1.46,0,0.3840469582027845623961486822,0.384046958202785,0.384046958202785,0.384046958202785,0.384046958202785,0,0,0,0,3.3123799102304171737512046364,7.111532,15.656448791020745612479947164,56845980
1.47,0,0.3826976013020245217039124704,0.382697601302025,0.382697601302025,0.382697601302025,0.382697601302025,0,0,0,0,3.3114262294618017885213960712,7.114888,15.629465054251372599473607082,57235340
1.48,0,0.3813545799260045151188780888,0.381354579926004,0.381354579926004,0.381354579926004,0.381354579926004,0,0,0,0,3.3104010029394349708958897865,7.118189,15.602616556219414683478387398,57624700
1.49,0,0.3800176997748145998032170254,0.380017699774815,0.380017699774815,0.380017699774815,0.380017699774815,0,0,0,0,3.3093058245149995856660812213,7.121437,15.575898652767326698225429394,58014050
1.50,0,0.3786868695291275504060739321,0.378686869529128,0.378686869529128,0.378686869529128,0.378686869529128,0,0,0,0,3.3081421488917427680405749362,7.124632,15.549305739581463598974072902,58403410
1.51,0,0.3773622079507473588073024149,0.377362207950747,0.377362207950747,0.377362207950747,0.377362207950747,0,0,0,0,3.3069113332266173828107663705,7.127778,15.522835323811498480386037698,58792760
1.52,0,0.3760435444506746157199454639,0.376043544450675,0.376043544450675,0.376043544450675,0.376043544450675,0,0,0,0,3.3056147378014319975809578057,7.130873,15.496480781901195159724874761,59182120
1.53,0,0.3747309783035794149427479339,0.374730978303579,0.374730978303579,0.374730978303579,0.374730978303579,0,0,0,0,3.3042535820568251799554515204,7.133921,15.470240105410260369240920782,59571470
1.54,0,0.3734242396162458021196479813,0.373424239616246,0.373424239616246,0.373424239616246,0.373424239616246,0,0,0,0,3.3028290613244797947256429552,7.136919,15.444106501630585044143447403,59960830
1.55,0,0.3721235381483347048530465377,0.372123538148335,0.372123538148335,0.372123538148335,0.372123538148335,0,0,0,0,3.3013422714979829771001366696,7.139873,15.418079796793875429150086276,60350180
1.56,0,0.3708286146700275159388833558,0.370828614670028,0.370828614670028,0.370828614670028,0.370828614670028,0,0,0,0,3.2997943175321275918703281054,7.14278,15.39215352835917063299198952,60739540
1.57,0,0.3695396271525266494313225935,0.369539627152527,0.369539627152527,0.369539627152527,0.369539627152527,0,0,0,0,3.2981861956070907742448218197,7.145643,15.366325771505351670523373858,61128900
1.58,0,0.3682563815159570527249220223,0.368256381515957,0.368256381515957,0.368256381515957,0.368256381515957,0,0,0,0,3.2965189261784953890150132542,7.148462,15.340592476997149276371969034,61518260
1.59,0,0.3669789161426563021861717568,0.366978916142656,0.366978916142656,0.366978916142656,0.366978916142656,0,0,0,0,3.2947933588200885713895069701,7.151237,15.314950061327793011103054543,61907610
1.60,0,0.3657071430398700489517932021,0.36570714303987,0.36570714303987,0.36570714303987,0.36570714303987,0,0,0,0,3.2930104390801731861596984053,7.15397,15.289396156676220853503527497,62296970
1.61,0,0.3644410732713696417450016261,0.36444107327137,0.36444107327137,0.36444107327137,0.36444107327137,0,0,0,0,3.2911709886040777741600057993,7.156662,15.263928037305851957246838347,62686320
1.62,0,0.3631806394214326535024972031,0.363180639421433,0.363180639421433,0.363180639421433,0.363180639421433,0,0,0,0,3.2892758294424123889301972349,7.159312,15.238541593765572594546342942,63075680
1.63,0,0.3619258608280234628398802418,0.361925860828024,0.361925860828024,0.361925860828024,0.361925860828024,0,0,0,0,3.2873257079098555980745749886,7.161922,15.213235064609639108276273342,63465040
1.64,0,0.3606765569732736328830283689,0.360676556973274,0.360676556973274,0.360676556973274,0.360676556973274,0,0,0,0,3.2853213843275787804490687038,7.164493,15.188005979884570597225389125,63854390
1.65,0,0.3594328512598592903227139171,0.359432851259859,0.359432851259859,0.359432851259859,0.359432851259859,0,0,0,0,3.2832635706709133952192601394,7.167024,15.162850594751431361523918418,64243750
1.66,0,0.3581946756879859778597381863,0.358194675687986,0.358194675687986,0.358194675687986,0.358194675687986,0,0,0,0,3.2811529339896865775937538539,7.169517,15.137767439471425983645465009,64633100
1.67,0,0.3569618541759654021197993068,0.356961854175965,0.356961854175965,0.356961854175965,0.356961854175965,0,0,0,0,3.2789901433917011923639452888,7.171971,15.112752927765406993509836845,65022460
1.68,0,0.3557345890655888653264354597,0.355734589065589,0.355734589065589,0.355734589065589,0.355734589065589,0,0,0,0,3.2767758035199243747384390033,7.174389,15.087806514372729392706325082,65411810
1.69,0,0.3545126347688683930679525144,0.354512634768868,0.354512634768868,0.354512634768868,0.354512634768868,0,0,0,0,3.2745105329290389895086304381,7.17677,15.062924787205561066283622411,65801170
